language,id,author_id,created_at,date,text,place_info__full_name,continent,latitude,longitude,place_info__place_type,attachments__media_keys__-,attachments__media_keys__001,attachments__media_keys__002,attachments__media_keys__003,attachments__media_keys__004,media_url
French,1376048569753464832,1281918810,2021-03-28T05:48:39.000Z,"March 28, 2021",Debout de bonne heure pour assurer les soins aux animaux. Je suis un maillon essentiel de notre souveraineté alimentation et du maintien d une flore et faune dont tout un chacun profite au quotidien. Pourtant j existe si peu devant le pouvoir législatif. Je suis #AGRICULTRICE https://t.co/v6VTPaiGB4,"Fréhel, France",Europe,48.6337058,-2.37099135,city,,3_1376048541253181440,,,,https://pbs.twimg.com/media/Exi0248XIAAZi_M.jpg
French,1376031608671662084,28994859,2021-03-28T04:41:15.000Z,"March 28, 2021","@NewsInt_ @lsjngs 😳😳😳\n\nLa faune et la flore de ces rivières ne sont pas sensés avoir besoin de soleil?\n\nAux dernières nouvelles, il me semblait que le soleil était toujours nécessaire, mais bon, j’ai peut-être raté un épisode.","Beijing, People's Republic of China",Asia,40.24638,116.4612355,admin,,,,,,
French,1375835675375894538,1363813730824372231,2021-03-27T15:42:41.000Z,"March 27, 2021","@MRLTine Tu peux le dire...\nNous, on est là pour tout niquer..!!\nQue ce soit la faune, la flore....\nC’est ahurissant...\nJ’ai peur de voir dans quel monde mes enfants vont grandir..!!😔😔😔😔😞😞😞","Brest, France",Europe,48.408123,-4.4995518,city,,,,,,
French,1375789476425953280,909720609751433221,2021-03-27T12:39:06.000Z,"March 27, 2021","Spectaculaire joyau de @Northern_Norway,séparant l’archipel de @VisitVesteralen de celui des #Lofoten,le #Trollfjord,exploré chez @visitnorway, m’a littéralement envoûtée.\n\nEntre sa faune,ses eaux translucides, ses cascades et ses vertigineuses falaises,difficile de résister! https://t.co/WcOacDf0qH",Trollfjorden,Europe,68.36283857,14.93152259,poi,,7_1375789433748914178,,,,https://pbs.twimg.com/ext_tw_video_thumb/1375789433748914178/pu/img/bZxNBftuhk__9fCZ.jpg
French,1375395244318064643,1309412256120213504,2021-03-26T10:32:34.000Z,"March 26, 2021","@6PakI6to6 @alain_berset Oui dans une forêt, sur les panneaux présentant la faune locale, ou indicant les directions... ils sont graves !","Aire-la-Ville, Suisse",Europe,46.1905585,6.044413,city,,,,,,
French,1375369813846016003,1379081640,2021-03-26T08:51:31.000Z,"March 26, 2021",@_Yume_Wo_Miru_ J'y étais pendant quelques mois l'an dernier : \n- si tu fais un minimum attention la faune te fait rien.\n- en ville il y a vraiment rien de dangereux en terme d'animaux\n- il y a vraiment des paysages oufissime\n- les gens sur places sont souvents gentils / bien attentionnés https://t.co/7bEq2TFfwI,"Sausheim, France",Europe,47.7843133,7.40426415,city,,3_1375369811375620097,,,,https://pbs.twimg.com/media/ExZLjnHXAAEnfXT.jpg
French,1375250318762577920,118530997,2021-03-26T00:56:41.000Z,"March 26, 2021","@LucPelot 😆\nPour le moment il préfère la faune animale. Il croasse, fait la mouette et les écureuils.","Montréal, Québec",North America,45.5578305,-73.723025,city,,,,,,
French,1375153234847936518,2221180123,2021-03-25T18:30:54.000Z,"March 25, 2021","En @RegionNormandie, @Enedis adapte ses installations pour protéger la faune et la flore. \n\nPlusieurs partenariats sont ainsi engagés sur le territoire Normand notamment avec la Ligue Protectrice des Oiseaux @LPOFrance.🕊️ \n\n#sécurité #TransitionEcologique https://t.co/Eyub9tkkLF","Upper Normandy, France",Europe,49.3694446,0.9344996,admin,,3_1375153225364598792,,,,https://pbs.twimg.com/media/ExWGkpWW8AgF5Ab.jpg
French,1375104007723700236,1359396251972890624,2021-03-25T15:15:18.000Z,"March 25, 2021","Pour ceux qui ne le savaient pas encore là préservation de la faune, de la flore, l écologie reelle et locale sont le fer de lance ne nos députés européens @RNational_off . Des actes, des actes, des actes et du concret....très loin des clichés que l'on nous colle à tort https://t.co/XV3UmJheLt","La Glacerie, France",Europe,49.60477185,-1.59631695,city,,,,,,
French,1375096675262476291,122626035,2021-03-25T14:46:10.000Z,"March 25, 2021","@stepien_przemek @wyborcza3miasto @AnnaGorska_PL @partiarazem @B_Maciejewska @__Lewica Natomiast zdaje się, że nie jest tak że OZE to magiczna różdżka. Na pewno znasz temat nowych farm wiatrowych u wybrzeża Massachusetts. Wspaniała sprawa, ale trwają analizy jak to wpłynie na morską faunę i florę, prądy itp.","Gdynia, Polska",Europe,54.503549,18.4636595,city,,,,,,
French,1375089447948128260,20642584,2021-03-25T14:17:26.000Z,"March 25, 2021",@ellegist Prélude à l'après-midi d'un faune was one of my set works for A-Level. Beautiful.,"East, England",Europe,52.22045054,0.511578099,admin,,,,,,
French,1375054857254670343,65371112,2021-03-25T11:59:59.000Z,"March 25, 2021",Le Champ-de-Mars est accueillant 🦆 #printemps #faune #vie #soleil #polMtl https://t.co/9Agn9910sB,Édifice Lucien-Saulnier (Vieux palais de justice de Montréal),North America,45.50795596,-73.55501175,poi,,3_1375054850946428928,,,,https://pbs.twimg.com/media/ExUtGgFW8AA3kZ5.jpg
French,1374650984874528771,829370598212194304,2021-03-24T09:15:09.000Z,"March 24, 2021","@florencehabets @agpm_mais @EricFretillere @cduroc @Battegay1 @Aquanide @jmleluc @Adour_Garonne @INRAE_France 😉Venez voir sur nos exploitations vous serez surprise de l'intérêt de l'irrigation pour générer de la biodiversité, capter du carbone et offrir le gite et le couvert a toute la faune même en oeriodecde secheresse. https://t.co/470QZeiO8J","Mansle, France",Europe,45.8812073,0.17246785,city,,3_1374650978461478921,,,,https://pbs.twimg.com/media/ExO9yB1W8Ak_kiH.jpg
French,1374034952224931840,294462874,2021-03-22T16:27:15.000Z,"March 22, 2021",Aujourd'hui en fin de poste...\nToujours garder ses yeux d'enfants pour voir la beauté de la nature (faune et flore) 🤗\n#happy https://t.co/H3nrMHd8g7,"Lainville-en-Vexin, France",Europe,49.05846095,1.8164565,city,,3_1374034936664109060,,,,https://pbs.twimg.com/media/ExGNfrTXMAQeDYY.jpg
French,1373961042515087363,1320643841754570752,2021-03-22T11:33:34.000Z,"March 22, 2021","@MarieVadrot Une mission rapide , avec des analyses aussi très rapides !!!\nPour la grippe aviaire sur les cygnes \nSûrement une erreur de laboratoire .\nEncore une erreur !!!https://t.co/lydDITKLA9","La Teste-de-Buch, France",Europe,44.56050675,-1.1837395,city,,,,,,
French,1373904902506868737,1166148161485844480,2021-03-22T07:50:29.000Z,"March 22, 2021",@ruyame Green land 🍂🌿🌵\nC bien pour sauver la faune et flore,"Bir Mourad Raïs , Algeria",Africa,36.71931305,3.060261349,city,,,,,,
French,1373887657437241345,1057951432555614209,2021-03-22T06:41:57.000Z,"March 22, 2021",Visit cameroon💚♥️💛\nLake Tissongo 🚣 \nréserve de la faune Douala-edea littoral région.\n#TheTouristGUIDE\n🇨🇲 https://t.co/TBjQjDmvMH,"Littoral, Cameroon",Africa,4.2951534,10.20414275,admin,,3_1373887578101923841,3_1373887607667630083,3_1373887650994720769,,https://pbs.twimg.com/media/ExEHeR4WQAEiDmi.jpg
Portuguese,1375062007364337668,357712103,2021-03-25T12:28:24.000Z,"March 25, 2021",@bucetacolotra @oonatureza Biólogos e outros pesquisadores deixam câmeras com sensores de movimento para fazer registros dos animais selvagens 😊😊😊🙂,"Joinville, Brasil",South America,-26.26168945,-48.96647445,city,,,,,,
Portuguese,1374937336199442435,386282605,2021-03-25T04:13:00.000Z,"March 25, 2021","Os reis levam tributos ao teu templo em Jerusalém.  Repreende-os esses animais selvagens à espreita entre os juncos, essa manada d touros no meio de bezerros fracos. Faze-os trazer barras d prata como humilde tributo, dispersa as nações q têm prazer em guerrear.\n\nSl 68:29-30","Florianópolis, Brazil",South America,-27.6096907,-48.478899,city,,,,,,
Portuguese,1374701160091766789,82503870,2021-03-24T12:34:31.000Z,"March 24, 2021","- Políticas coordenadas de controle do desmatamento entre países amazônicos\n- Proteção direitos indígenas à terra\n- Fim ações ilegais na floresta\n- Melhora de práticas de saúde, saneamento e desenvolvimento em áreas de alta população\n- Desencorajamento comércio animais selvagens","Washington, DC",North America,38.89860285,-77.0143985,city,,,,,,
